graph_type,n_nodes,n_sources,n_edges,run_id,algorithm,runtime,memory_peak,seed,extra_params
fattree,80,1,640,2,BMSSP,0.05446950002806261,426.419921875,2,k=8
tree,10000,8,9999,2,Dijkstra,0.08051475009415299,871.3828125,2,
tree,10000,8,9999,2,BMSSP,1.8767080419929698,6250.55859375,2,
tree,100000,8,99999,2,Dijkstra,1.4527407500427216,15496.1640625,2,
tree,100000,8,99999,2,BMSSP,35.34789962682407,62385.09765625,2,
grid_3d,125,8,300,2,Dijkstra,0.0011683340417221189,15.671875,2,"x=5,y=5,z=5"
grid_3d,125,8,300,2,BMSSP,0.12037695792969316,275.33203125,2,"x=5,y=5,z=5"
grid_3d,1000,8,2700,2,Dijkstra,0.01385612494777888,113.76953125,2,"x=10,y=10,z=10"
grid_3d,1000,8,2700,2,BMSSP,0.983272249926813,1341.9296875,2,"x=10,y=10,z=10"
torus,100,8,200,2,Dijkstra,0.0009113739361055195,12.375,2,"rows=10,cols=10"
torus,100,8,200,2,BMSSP,0.062267790955957025,173.474609375,2,"rows=10,cols=10"
complete,10,8,45,2,Dijkstra,0.00016337708802893758,1.3828125,2,
complete,10,8,45,2,BMSSP,0.012398085033055395,49.90625,2,
complete,50,8,1225,2,Dijkstra,0.0017256669816561043,6.7890625,2,
complete,50,8,1225,2,BMSSP,0.7295572921284474,743.125,2,
leafspine,15,8,50,2,Dijkstra,0.00018245901446789503,2.0859375,2,"n_leaves=10,n_spines=5"
leafspine,15,8,50,2,BMSSP,0.012621539935935289,68.59375,2,"n_leaves=10,n_spines=5"
fattree,80,8,640,2,Dijkstra,0.001599206996615976,6.9453125,2,k=8
fattree,80,8,640,2,BMSSP,0.40011550002964213,465.810546875,2,k=8
tree,10000,16,9999,2,Dijkstra,0.1074650829541497,871.3828125,2,
tree,10000,16,9999,2,BMSSP,2.5228580412222072,6251.12890625,2,
tree,100000,16,99999,2,Dijkstra,2.038003708003089,15496.1640625,2,
tree,100000,16,99999,2,BMSSP,49.71400462917518,62365.51171875,2,
grid_3d,125,16,300,2,Dijkstra,0.0017959168180823326,15.671875,2,"x=5,y=5,z=5"
grid_3d,125,16,300,2,BMSSP,0.18376553995767608,279.33203125,2,"x=5,y=5,z=5"
grid_3d,1000,16,2700,2,Dijkstra,0.023670835013035685,98.83203125,2,"x=10,y=10,z=10"
grid_3d,1000,16,2700,2,BMSSP,1.757554291980341,1398.4453125,2,"x=10,y=10,z=10"
torus,100,16,200,2,Dijkstra,0.0016348729841411114,12.375,2,"rows=10,cols=10"
torus,100,16,200,2,BMSSP,0.1028564132284373,174.728515625,2,"rows=10,cols=10"
complete,10,10,45,2,Dijkstra,0.00018916605040431023,1.3828125,2,
complete,10,10,45,2,BMSSP,0.012882960145361722,49.796875,2,
complete,50,16,1225,2,Dijkstra,0.0028616670751944184,6.7890625,2,
complete,50,16,1225,2,BMSSP,1.2224466658663005,758.546875,2,
leafspine,15,15,50,2,Dijkstra,0.0002347910776734352,2.0859375,2,"n_leaves=10,n_spines=5"
leafspine,15,15,50,2,BMSSP,0.014007998048327863,68.59375,2,"n_leaves=10,n_spines=5"
fattree,80,16,640,2,Dijkstra,0.0023470830055885017,6.9453125,2,k=8
fattree,80,16,640,2,BMSSP,0.48266862507443875,462.849609375,2,k=8
tree,10000,1,9999,0,Dijkstra,0.036747500067576766,885.5654296875,0,
tree,10000,1,9999,0,BMSSP,0.7062190420692787,6307.91796875,0,
tree,100000,1,99999,0,Dijkstra,0.3220988749526441,15543.68359375,0,
tree,100000,1,99999,0,BMSSP,5.9364684170577675,60755.18359375,0,
grid_3d,125,1,300,0,Dijkstra,0.00030920899007469416,15.53125,0,"x=5,y=5,z=5"
grid_3d,125,1,300,0,BMSSP,0.028427125071175396,271.076171875,0,"x=5,y=5,z=5"
grid_3d,1000,1,2700,0,Dijkstra,0.005273916060104966,100.3046875,0,"x=10,y=10,z=10"
grid_3d,1000,1,2700,0,BMSSP,0.20510833302978426,1346.7109375,0,"x=10,y=10,z=10"
torus,100,1,200,0,Dijkstra,0.0001817919546738267,12.375,0,"rows=10,cols=10"
torus,100,1,200,0,BMSSP,0.014332332997582853,170.162109375,0,"rows=10,cols=10"
complete,10,1,45,0,Dijkstra,3.883300814777613e-05,1.453125,0,
complete,10,1,45,0,BMSSP,0.0034792920341715217,49.671875,0,
complete,50,1,1225,0,Dijkstra,0.00023862498346716166,6.6640625,0,
complete,50,1,1225,0,BMSSP,0.11099416692741215,767.896484375,0,
leafspine,15,1,50,0,Dijkstra,4.437495954334736e-05,2.0234375,0,"n_leaves=10,n_spines=5"
leafspine,15,1,50,0,BMSSP,0.004395124968141317,64.8046875,0,"n_leaves=10,n_spines=5"
fattree,80,1,640,0,Dijkstra,0.00026095903012901545,7.1640625,0,k=8
fattree,80,1,640,0,BMSSP,0.054309042054228485,432.625,0,k=8
tree,10000,8,9999,0,Dijkstra,0.08015779301058501,876.1953125,0,
tree,10000,8,9999,0,BMSSP,2.162144166883081,6401.19140625,0,
